Date,CloseIBOV,CloseDJI,Price,ICB,CarWash
2012-05-21,56590.0,12504.480469,2.0417,17780.253914488112,0
2012-05-22,55039.0,12502.80957,2.0907,17765.094632156583,0
2012-05-23,54619.0,12496.150391,2.0309,17423.729379933993,0
2012-05-24,54063.0,12529.75,2.0282,17391.80801879967,0
2012-05-25,54463.0,12454.830078,1.9846,17228.9975740737,0
2012-05-29,54633.0,12580.69043,1.9895,17055.09052182722,0
2012-05-30,53798.0,12419.860352,2.016,17050.51457057141,0
2012-05-31,54490.0,12393.450195,2.0226,16891.46352998877,0
2012-06-01,53403.0,12118.570313,2.04,16840.411222383682,0
2012-06-04,53417.0,12101.459961,2.056,16908.05223099873,0
2012-06-05,52481.0,12127.950195,2.0248,16760.873132990357,0
2012-06-06,54156.0,12414.790039,2.0328,16742.007480584925,0
2012-06-08,54430.0,12554.200195,2.0213,16747.645532122027,0
2012-06-11,54001.0,12411.230469,2.0652,16846.361381869276,0
2012-06-12,55049.0,12573.799805,2.0684,16865.395487261183,0
2012-06-13,55651.0,12496.379883,2.0719,16806.572497512254,0
2012-06-14,55352.0,12651.910156,2.0569,16628.281194802625,0
2012-06-15,56105.0,12767.169922,2.0484,16584.98386819371,0
2012-06-18,56195.0,12741.820313,2.0641,16706.76582808628,0
2012-06-19,57195.0,12837.330078,2.0279,16982.419316534735,0
2012-06-20,57167.0,12824.389648,2.0256,16771.436282514074,0
2012-06-21,55505.0,12573.570313,2.0631,17037.90349185103,0
2012-06-22,55440.0,12640.780273,2.0675,17095.636568050806,0
2012-06-25,53805.0,12502.660156,2.0613,17175.58318473402,0
2012-06-26,53837.0,12534.669922,2.0724,17489.891288224902,0
2012-06-27,53109.0,12627.009766,2.0764,17516.38149451329,0
2012-06-28,52652.0,12602.259766,2.0765,17467.155743024858,0
2012-06-29,54355.0,12880.089844,2.0095,17443.101780809986,0
2012-07-02,54693.0,12871.389648,1.9849,17470.341588236955,0
2012-07-03,55780.0,12943.660156,2.0156,17734.11077083504,0
2012-07-05,56379.0,12896.669922,2.0194,17949.41527719169,0
2012-07-06,55394.0,12772.469727,2.0281,17944.010780602337,0
2012-07-10,53706.0,12653.120117,2.0333,18250.729258359625,0
2012-07-11,53569.0,12604.530273,2.0345,18224.827794649194,0
2012-07-12,53421.0,12573.269531,2.0373,18183.51955707303,0
2012-07-13,54331.0,12777.089844,2.037,18450.85805452762,0
2012-07-16,53402.0,12727.209961,2.0347,18533.08301196493,0
2012-07-17,53909.0,12805.540039,2.022,18463.01543777935,0
2012-07-18,54583.0,12908.700195,2.0227,18484.350362248577,0
2012-07-19,55347.0,12943.360352,2.0125,18822.07827620374,0
2012-07-20,54195.0,12822.570313,2.0236,18983.016244546994,0
2012-07-23,53034.0,12721.459961,2.0389,18777.12043413058,0
2012-07-24,52639.0,12617.320313,2.0477,18308.52748049686,0
2012-07-25,52608.0,12676.049805,2.0331,18499.8024510121,0
2012-07-26,54003.0,12887.929688,2.0213,18334.420745159736,0
2012-07-27,56553.0,13075.660156,2.0212,18409.03458262147,0
2012-07-30,57241.0,13073.009766,2.0405,18743.39034339557,0
2012-07-31,56097.0,13008.679688,2.0567,18653.21011997716,0
2012-08-01,55623.0,12976.129883,2.0443,18624.33713989156,0
2012-08-02,55520.0,12878.879883,2.0497,18450.4529753,0
2012-08-03,57255.0,13096.169922,2.0282,18443.300260054577,0
2012-08-06,58345.0,13117.509766,2.0312,18540.727961765868,0
2012-08-07,57726.0,13168.599609,2.0285,18460.410777696885,0
2012-08-08,58951.0,13175.639648,2.0205,18354.158779336438,0
2012-08-09,58797.0,13165.19043,2.013,18217.331305943895,0
2012-08-10,59281.0,13207.950195,2.0149,18503.538275893326,0
2012-08-13,59123.0,13169.429688,2.0204,18218.329423165193,0
2012-08-14,58083.0,13172.139648,2.0266,18214.477397187537,0
2012-08-15,58189.0,13164.780273,2.0225,18130.849034532563,0
2012-08-16,59446.0,13250.110352,2.0168,18147.36414753486,0
2012-08-17,59082.0,13275.200195,2.0155,18318.573779763377,0
2012-08-20,59283.0,13271.639648,2.0168,18520.469723074966,0
2012-08-21,58918.0,13203.580078,2.0158,18609.90122395183,0
2012-08-22,59381.0,13172.759766,2.0165,18528.60842567533,0
2012-08-23,58512.0,13057.459961,2.0237,18570.27304741934,0
2012-08-24,58426.0,13157.969727,2.0271,18634.91107437392,0
2012-08-27,58111.0,13124.669922,2.0342,18796.24351676185,0
2012-08-28,58406.0,13102.990234,2.044,18844.668106356694,0
2012-08-29,57369.0,13107.480469,2.05,18846.95084810393,0
2012-08-30,57256.0,13000.709961,2.0488,18814.888336367876,0
2012-08-31,57061.0,13090.839844,2.0293,18641.734957759185,0
2012-09-04,56234.0,13035.94043,2.0427,18869.68975263969,0
2012-09-05,56864.0,13047.480469,2.0393,18670.078100377563,0
2012-09-06,58321.0,13292.0,2.0281,18634.150037267522,0
2012-09-10,58404.0,13254.290039,2.0224,18920.275494139118,0
2012-09-11,59423.0,13323.360352,2.0167,18911.89168219726,0
2012-09-12,59922.0,13333.349609,2.0271,18773.087019674185,0
2012-09-13,61958.0,13539.860352000002,2.0211,18718.150001967708,0
2012-09-14,62105.0,13593.370116999999,2.0119,18820.26362719208,0
2012-09-17,61806.0,13553.099609,2.0329,18616.715899024442,0
2012-09-18,61804.0,13564.639647999998,2.0231,18707.61020557049,0
2012-09-19,61652.0,13577.959961000002,2.0242,18618.95345092536,0
2012-09-20,61688.0,13596.929688,2.0213,18352.627961402315,0
2012-09-21,61320.0,13579.469727000002,2.0225,18539.221825617697,0
2012-09-24,61910.0,13558.919922,2.0264,18434.549855626195,0
2012-09-25,60501.0,13457.549805,2.0315,18380.66663340161,0
2012-09-26,60478.0,13413.509766,2.0362,18100.046118244823,0
2012-09-27,60240.0,13485.969727000002,2.0293,18153.182452380377,0
2012-09-28,59176.0,13437.129883000001,2.0257,18271.03878366417,0
2012-10-01,59571.0,13515.110352000002,2.0264,18290.808764457208,0
2012-10-02,59222.0,13482.360352000002,2.0257,18406.844161658137,0
2012-10-03,58627.0,13494.610352000002,2.022,18305.223524557838,0
2012-10-04,58458.0,13575.360352000002,2.0177,18208.365806704296,0
2012-10-05,58572.0,13610.150391,2.031,17969.20469651902,0
2012-10-08,59317.0,13583.650391,2.0297,17982.56078676016,0
2012-10-09,58939.0,13473.530272999998,2.0362,17855.307883954338,0
2012-10-10,58456.0,13344.969727,2.0426,17837.368686875197,0
2012-10-11,59162.0,13326.389648,2.0423,17862.337915368516,0
2012-10-15,59602.0,13424.230469,2.0363,17778.053741025713,0
2012-10-16,59744.0,13551.780272999998,2.033,17886.553013005137,0
2012-10-17,60087.0,13557.0,2.032,17853.01957709837,0
2012-10-18,59734.0,13548.94043,2.0263,17803.59138631294,0
2012-10-19,58922.0,13343.509766,2.0277,17959.781346580305,0
2012-10-22,58700.0,13345.889648,2.0242,18052.982705057755,0
2012-10-23,57690.0,13102.530273,2.027,17944.692830198717,0
2012-10-24,57161.0,13077.339844,2.0252,17950.302169240786,0
2012-10-25,57837.0,13103.679688,2.0252,18107.174059943314,0
2012-10-26,57277.0,13107.209961,2.027,18038.390566500406,0
2012-10-31,57068.0,13096.459961,2.0309,17988.71124417302,0
2012-11-01,58383.0,13232.620117,2.031,17928.382577615062,0
2012-11-05,58210.0,13112.44043,2.0353,17790.437088281768,0
